sentences,advice,symptoms
講唔到自己因為咩事而唔開心，最後只會答句無野就算數，好辛苦，唔想再生存落去,明白你呢個孤單嘅感受  你承受嘅已經太多啦 可以試吓同朋友講吓你嘅憂慮！,L5
雖然考試前我睇習咗好耐，但系我覺得一考試我就忘記嗮  ,溫習咗好耐，一考試就忘記晒，你嘅感受係？,T5
"我想搵個人俾我依賴下都無, 唔通真係唔可以強求",我明白你嘅感受，你可以試下同屋企人多啲聯繫，相信佢地都會關心同陪伴你。,L3
"如果無人同自己分享 ,有時間同錢有咩樂趣",我明白你嘅感受，你可以試下同屋企人或朋友多啲聯繫，相信佢地都會關心同陪伴你。,L3
"人緣唔差,相熟嘅朋友都唔少,但理解到自己嘅就一個都冇,曾經相信可以/想畀佢了解嘅人又唔喺身邊",從你嘅話語中，得知你因為你過往嘅經歷而認為冇人理解自己，感到無助，你可以搵學校counsellor傾下㗎！,L4
父母期望好高，永遠都做得唔好， 所以就好辛苦,家人期望高，明白你覺得辛苦。不過，點解覺得自己永遠做唔好呢？,T3
有時考試題目好多，我就想快啲做完，驚最後時間唔够 ,都明既，有時老師真係會出好多條題目,T7
同埋有啲人 你初初識落覺得好啱傾  但係有時只需要一兩件事 就會發現大家觀點性格好唔同 最後都無辦法再交心落去,有啲人一開始啱傾，認識深咗就發現同自己有不同之處。可以講下發生咗乜嘢事嗎？,L5
我聽唔明lecturer講書,好多課程其實都好深 唔明嘅地方要搵教授 tutor問清楚喔 佢哋都好樂意解答你嘅疑難架 有時間email佢地問下啦,T5
"唔會 好難唔在意
當返散工時 個個都識到朋友
但自己毒撚性格 識唔到熟人
放工時其他人一pairpair咁走
我就自己一個人行後
就覺得灰",明白呢個感受會令人唔開心，可以試吓分配下時間搵吓自己想要嘅興趣,L8
咁樣真係會令人好難受,好難過你經歷咗咁多野 你會唔會可以講多少少？,L1
"升左大學後就過左單機人生2年半
已經忘記如何識朋友
我覺得我同其他人好似隔左保護網咁
加上本身性格孤獨，唔鍾意周圍玩
基本上一至日都係一個人","俾個機會自己,俾個機會別人,當然最好係識得志同道合嘅朋友，但都要先了解自己有咩愛好，多參與活動，咁樣就算識唔到新朋友起碼都係自己鍾意做嘅事，唔會浪費左金錢同時間。",L8
我就係咁 朋友有 但個人好空虛,搵啲可以真心交到嘅朋友！唔好灰心！,L6
我感到害怕，查看時間，玩筆,可以同同學朋友一齊溫習 熟習多啲past paper同題目會唔會令你多啲信心冇咁驚恐,T9
我次次考試都好緊張…   ,次次考試都好緊張，你係點面對？,T9
有時有啲心事唔知可以同邊個講 夜晚好易喊 愈大愈難識真心朋友 ,明白這感受會令人不開心..你可以搵學校嘅counsellor傾下㗎..嘗試拆解原因所在除左識得新朋友，同你識得嘅人keep contact都係一樣重要嘅。,L2
我都好想同人地close啲，知道某個人無論如何都會back up我。但我連出去玩都唔敢，點算？,你可以試下網上交友。網上有好多論壇同交友網站，令你接觸到有共同興趣嘅⼈。,L8
有好多題目我都覺得自己答得唔啱,塵埃落定 專注做好眼前嘅事 如果考完就好好計劃嚟緊嘅時間吧 俾自己空間放鬆一下,T4
fail的後果不堪設想,可以找教授/advisor商量一下 他們會很樂意幫助你的  當然也可以和同學一起努力考好,T2
我個心跳得好快，聽到噗噗聲,緊張會唔會影響到你嘅表現 有冇其他同學有類似嘅經驗,T10
就是考試近了我就會壓力很大。很多事情要做  ,明白你壓力大。考試前，你會點安排生活？,T9
"人生來就是孤獨的,不要奢望能夠依靠誰..",明白這感受會令人不開心..你可以搵學校嘅counsellor傾下㗎..敞開自己 唔好收埋負面情緒,L2
一個人喺外國讀書真係好辛苦，乜都要自己搞點…,聽到你需要自己一個面對好多問題，感到不開心同孤獨無助，你可以搵學校嘅counsellor傾下㗎！,L1
好擔心呢次考試，老師又會出d難題嚟考我哋 ,老師出難題考你哋嘅話，你會有點嘅感受？,T5
我好想知我呢次考試結果,"最好做多幾手準備計畫多幾條後路,高分又好低分又好,之後有結果時候冇咁易發生準備不足嘅意外",T1
成績表上既F，就係話我好失敗, 準備多啲 熟習啲題目 記住搵啲方法放鬆自己 多啲同信得過嘅人分享溝通 分擔一下,T2
"同事會當我透明
遺忘我、無視我
朋友唔會主動聯絡我
就算我主動聯絡佢地都係一句起兩句止
甚至完全唔理我",聽到你經常性被人遺忘，亦冇人會主動聯繫，因此感到失望，你可以搵學校嘅counsellor傾下㗎！,L5
"講心事有時好負
唔講又唔夠老友",我明嘅，你可以試下保持適當嘅語調同眼神接觸，自然咁表達你嘅想法啦。,L5
我溫習咗咁耐，覺得仲系冇複習曬 ,溫咗咁耐都覺得未複習晒，點解呢？,T5
狀態好差，個人一緊張又唔記得曬溫左既內容,狀態差，一緊張就唔記得溫左嘅內容，你嘅感受係？,T5
好多題目都唔識做，我會唔會好差成績,今次有題目唔識做，令你嘅感受係？,T1
"自己係真係太摺所以無曬朋友 以前次次約人好多次都約唔到 搞到唔敢再約人
加上自己興趣好少人會一樣 識到一個都算係咁 好難有common fd 都唔知點單獨約出嚟",我明白你嘅感受，其實同人好好溝通、相處並唔難。你可以試下約下同學，或者佢哋都想同你見面呢。,L5
成日會忍唔住睇其他人 ,咩情況之下會忍唔住睇其他人？,L4
我成日都會擔心陣間考試嘅題目會唔會好難 ,擔心一陣嘅考試會唔會好難，令到你覺得點呢？,T5
我好怕家人和我父母會罵我,被家人同父母罵，會令你有點嘅感受？,T3
好辛苦 屋企人有精神病 我講一句關心嘅野可以比佢無限妖魔化 以為我又責怪佢之類,明白你因為屋企人有精神問題，經常被佢誤會而感到唔開心，你可以同學校嘅counsellor傾下㗎！,L5
"有時係好想有個人陪自己出去行街食飯睇戲 想有個人掛住吓
但又發覺係未放低前一個 都係自閉吓先",聽到你未能放低前度而可能感到壓抑，好想有人陪伴，你可以搵學校counsellor傾下㗎！,L1
今日岩岩考完…好似成績唔高咁…,難得終於捱過考試，獎勵下自己，搵朋友出嚟聚下傾下放鬆下啦。,T1
今日岩岩考完…好似成績唔好咁…,覺得好似成績唔好，係咩原因呢？,T1
溫書溫到透支... 壓力好大 ,溫書直到透支係好辛苦。壓力大嘅時候你會點消壓？,T9
自問自己冇做過咩奇怪事 但就一直都埋唔堆 我覺得好差 明明係中學都叫有班死黨朋友 但入到黎U好似完全調轉左咁...,聽到你轉換新環境後一直無辦法融入其他人嘅圈子，造成困擾。你可以同學校嘅counsellor傾下㗎！,L8
"除左中學同學
Photoday怕無人影相無去",怕無人同你影相所以無去photoday，依家心情係點？,L3
接受唔到雖然唔叫多朋友 但依家真一個都無勁難受,孤單的確係一件難受嘅事。你希望認識新朋友嗎？,L1
識嘅同學冇啦啦單獨約出黎又好似好怪，感覺同人好似唔係太熟又走去約人咁,我明白你嘅感受，其實同人好好溝通、相處並唔難。你可以試下約下同學，或者佢哋都想同你見面呢。,L5
我都唔識同屋企人相處，特別大家價值觀好遠,聽你咁講，你可能因為同屋企人價值觀有距離而唔識點樣同佢地相處，如果呢種情況對你造成困擾，你可以搵學校counsellor傾下㗎！,L5
唔合格屋企人又會話我…,"試下同屋企人傾下，比佢地了解一下你的水平，就算能力所限而分數一般,家人應該會理解的",T3
我真後悔沒有努力復習，考試時又分心,後悔無努力復習同埋考試分心，的確係難受。,T5
考完出嚟對正確答案，我覺得我很多題都寫錯咗，點算啊,對完答案，你嘅感受係點樣？,T4
除左心理輔導都係想有個人肯聽下我講嘢啫 原來都冇,"聽到您不開心，唔好咁灰心,你可以試下冥想或者寫⽇記，可以令你放鬆啲、內⼼平靜啲。",L2
我想考試做好d，我成日想做快d,有冇試過做多啲past paper同題目 有冇幫到你答題同做快啲,T7
我唸野實在負面得太緊要，唔想影響到人，所以決定收埋,明白你呢個孤單嘅感受  你承受嘅已經太多啦 可以試吓同朋友講吓你嘅憂慮！,L5
好矛盾 自己一方面唔鐘意識人 平時鐘意自己一個周街行 但係當有心事果陣 搵唔到人傾果種感覺好頹 都唔知自己做咩,有心事喺心裡面的確會辛苦。你可以搵屋企人或者學校/社區嘅社工傾訴。,L2
上到大學冇交心fd  唔開心/大壓力時亦搵唔到fd訴苦,你可以搵學校嘅counsellor傾下㗎。,L2
成日諗住想快d做完份卷佢,都係嘅 有時連續幾日考幾科 快啲考完就可以多啲時間準備或者畀自己休息 你平時考試有咩準備令自己快啲完成,T7
今日岩岩考完…好似分數唔好咁…,覺得好似分數唔好，係點解呢？,T1
考試嗰陣時太緊張 心跳加速 仲會覺得好熱,考試緊張，心跳加速又覺得熱，你會點面對？,T10
改善緊張不安情緒的建議,試下唔同方法放鬆一下喔 或者將注意力分散一下,T9
剛失戀，心情跌到㡳，一個人亂諗野，好怕孤獨,好難過你經歷咗咁多野 你會唔會可以講多少少？,L1
我考試嗰時隻手好抖  ,考試嗰陣手震，你會點做？,T10
入左u，見到個個同人地都好熟，但自己好似冇同邊個特別熟，覺得自己成世都會咁,試吓搵吓其他嘅朋友 比下其他人機會,L8
日日返工放工自己一個，連放假都係自己出街,唔好咁灰心，一個人都可以過得好開心㗎。你可以學習感恩同知足，人都開心啲！,L1
但係如果我嘅分數低就好難有好成績,如果成績未算好，你會有點嘅感受？,T1
考試嗰陣時太緊張 心跳加快 仲會覺得好熱   ,考試緊張，心跳加快又覺得熱，你會點面對？,T10
屋企人之後又會話我冇努力,"可以提早跟屋企人講定個study plan ,咁屋企人知道你plan好咗又有跟住做,自然會覺得你勤力",T3
我覺得我會答錯哂，然後我啊媽會鬧,覺得自己會答錯晒，點解呢？,T3
而且我一諗到下過月要考試，就經常害怕到頭痛同埋瞓唔著  ,明白你擔心考試。考試前成個月都頭痛又瞓唔著一定好辛苦。果啲日子你會點做？,T10
因為如果模擬考考得唔好，我就覺得我最尾嘅考試應該分數都會好爛,睇黎今次模擬試對你黎講好重要。你而家嘅感受係點？,T1
我覺得我做得好爛，考試應該得好低分,覺得自己做得唔好嘅原因係？,T4
溫書嗰陣就覺得自己點睇嘅都點唔曬考試重點內容 ,試吓用mindmap整合分類好啲邏輯 根基邏輯搞清楚 深啲嘅內容就可以靠推論搵番出黎  或者一啲唔同嘅記憶法都幫到手,T5
就算係曾經嘅知心朋友都會因爲環境同其他嘅因素變到同唔到佢再交心,明白呢個感受會令人唔開心，試吓對人敞開自己,L2
只剩下考試和讀書人生冇意義了,嗯 所以 考試讀書應該只係一部分 都要抽時間做自己想做嘅事鑽研發展個人興趣 同朋友屋企人同學仔維繫,T11
男朋友帶我去迪士尼，但留底我一個係度睇睇煙花。呢種感覺好難受，覺得好寂寞,我明白你嘅感受，你可以試下同屋企人多啲聯繫，相信佢地都會關心同陪伴你。,L3
Sem1係U識左某些DSE拎好高分同人緣好好既人，而人地對我呢類成績一般既人好冷漠，嘴仲專登開一個冇我既Whatsapp group,聽你咁講，你認為身邊比你成績好嘅人對你冷淡，甚至另開無你份WhatsApp Group係因為你成績唔及佢地好，是嗎？你可以同學校嘅counsellor傾下㗎！,L7
遇到答唔出嘅題目嗰陣，我就想睇下人哋點做嘅,遇到答唔出嘅題目就想睇吓人哋點做，呢件事令你有點嘅感受？,L4
身邊無人無物 除夕自己一個坐係廳 對住四幅牆,我明白你嘅感受，你可以出街散下步、觀察下街道上嘅⾏⼈，或者同鄰居打個招呼， 都會令你冇咁孤單。,L3
如果今次考得吾好 分數就會吾好 甘就會搵吾到好工 甘就吾會有好ge一生,睇黎今次考試對你黎講真係好重要。你而家有點嘅感受？,T2
"我理你!
但問題係我唔識開話題#:o)#xm
其實我比較想改善同女仔之間溝通既問題.......我份人太麻甩, 所以同女仔無乜話題, 再加上以前讀女校有陰影","我明白你嘅感受，其實同人好好溝通、相處並唔難。試下自然咁表達你嘅想法,唔好忘記幫自己打氣呀。",L5
出去好一陣 返到入屋又係哩喺房 訓喺度等 等人可以睇透我個心 等人愛我 等人關心  好孤單啊,孤單的確難受。自己一個等其他人關心同理解唔係一件容易嘅事。會唔會想主動搵其他人？,L2
我聽日就要考試啦，點算，我超緊張 ,明白你難受。聽日考試會緊張嘅原因係？,T9
我都已經好努力嘗試識朋友，但係都唔太識同佢地溝通 我注定自己過世了,"明白這感受會令人不開心.唔好咁灰心住,你可以試下繼續結識朋友,終 有一日您會找到connect到的人，同人溝通有困難嘅時候唔好忘記幫自己打氣呀。",L5
讀書嘅壓力好大，真係唔想再讀，感覺都要抑鬱噉 ,放鬆點！可能你太緊張啫！,T9
一做卷就覺得答咩都唔啱 然後就好驚分數會差 傷心,明白你既傷心。做卷覺得答唔啱，可以試下請教其他同學或者老師。,T1
有幾個fd only… 好驚冇人同我一組,有幾個真心朋友都好好嘅 可以試吓對同科嘅人咁敞開自己同人傾吓計識下佢哋,L3
我覺得自己考得唔好，答錯好多嘢，驚爛grade，驚父母會話我,相信你已經知道自己邊度唔熟，咁試下做下Notes 整理一下思維，睇下唔會唔好D,T3
但係我考試嘅時候就答唔到啲咩,考試嘅時侯答唔到啲咩，你嘅意思係？,T4
好驚因為成績唔夠好哦爭唔到intern,除咗成績HR都會考慮很多其他因素 面試表現都係重要一環 要努力裝備好自己喔 都不妨搵教授/advisor商量一下 佢地會很樂意畀意見同幫你架,T2
考試嗰陣好緊張，身體好唔舒服，心跳加速，頭痛，手震，肚痛,身體不適好影響考試表現架喎 如果情況太嚴重最好睇醫生先之後再補考 勉強嘅話都難有表現喎,T9
我覺得我呢次口語考試考得唔理想,覺得今次口語考試考得唔理想嘅原因係？,T4
但諗唔到點做我就會拍隻腳同轉筆…,有冇其他辦法可以加強你嘅記憶同臨場表現 例如畫概念圖嗰啲,T8
我成日都會諗自己考試有幾差 不喜歡 ,用心準備好 熟習試題past paper考試就不會太差吧,T1
每日都好攰無人係身邊撐住，好想放棄,明白你呢個孤單嘅感受  你承受嘅已經太多啦 可以試吓同朋友講吓你嘅憂慮！,L2
我考試果陣，我好擔心   ,明白你覺得難受。考試嘅時候會擔心啲咩呢？,T9
我很難記得那些考試內容和答案,難記得考試內容同答案，令你覺得點？,T5
本身個人已經好摺唔識去識新朋友，以為中學識嗰啲就夠，點知連中學啲朋友都冇埋，更加唔知點去識密友,有時候要勇敢踏出第一步，以誠懇嘅態度同人交流。唔好忘記幫自己打氣呀,L8
但係考得太差父母會話我上堂唔認真,父母話上堂唔認真，會令你覺得點？,T3
外國又唔興上莊嗰啲 好多時候啲同學識咗一個sem啱啱先熟跟著又完sem 好難form到強既friendships,唔好咁灰心住，其實同人有多啲共同經歷嘅時候，慢慢就會變成朋友，友誼都會更深厚。唔好忘記幫自己打氣呀,L8
有咩慘得過冇人明白我 又要對住人強顏歡笑,強顏歡笑嘅感覺的確唔好受。不過，點解覺得其他人唔理解你呢？,L4
我成日都會驚陣間考試嘅題目會唔會好難,擔心一陣嘅考試題目會唔會好難，令到你覺得點呢？,T5
每日成個世界就好似得返 我 好 唔 開 心,我明白你嘅感受，你可以出街散下步、觀察下街道上嘅⾏⼈，或者同鄰居打個招呼， 都會令你冇咁孤單。,L3
中學好多隔離班成日叫我玩，但係我唔敢識人,"俾個機會自己,俾個機會別人,你又可以試下用交友應用程式，搵志同道合嘅朋友。",L8
就快考試，我擔心我分數會好低,爭取時間努力溫多啲，準備好啲考試就無咁徬徨吧。,T1
讀書好難，壓力又大，有時壓力大到想自殺 ,讀書難而且壓力大，係好辛苦。可以講多啲你嘅情況俾我聽嗎？,T11
我覺得我呢次口語考試發揮得好差,要知道自己因咩事發揮失準(緊張?不明白題目點樣講?冇經驗?)然後花多D時間去解決發揮失準的問題，之後遇到相似的考試就冇咁容易失誤。,T4
我一緊張就會分心注，會做其他小動作,都好common嘅  事先準備多啲 深呼吸飲下水 集中做好向目標進發吧,T9
然後就交卷了，我猜想這次分數很低,如果過兩天還有其他考試，那就繼續努力考好下一科吧。,T1
細個好易會做啲嘢去識人，大個根本唔會做呢啲嘢結果唔識去識新朋友嘅問題表露無遺,試吓對而家嘅朋友敞開 或者淨係同你覺得相處比較舒服嘅朋友一齊～,L8
"本身個人又摺同內向
whatsapp得某幾個group會間唔中響但係99%都唔關我事
同而家識個D大多都冇乜話題
而家fb/ig都唔玩, 返正都冇朋友
冇野做個陣都係屋企摺埋就算",或者試吓可以喺新嘅圈子同其他人相處,L6
其實諗諗下都係因為驚自己孤單一個先喪追個女仔,孤單的確唔好受。你希望有個伴，令自己無咁孤獨。你覺得個女仔係一個適合你嘅伴侶嗎？,L1
"我都覺得自己表達能力好差
可能自細唔慣分享意見
同埋個人慢熟
加加埋埋個人就變得好毒好負面",明白呢個感受會令人唔開心，試吓對人敞開自己,L8
已經考試fail咗一科,塵埃落定嘅 唯有跟住落嚟更加努力 亡羊補牢嘛 準備多啲 熟習啲題目 記住搵啲方法放鬆自己 多啲同信得過嘅人分享溝通 分擔一下,T2
上到大學因為自己唔係social又識唔到人,明白你會有咁嘅感覺唔好咁灰心先可以試吓用social Media 搵吓朋友,L8
今日岩岩考完…好似考得唔理想咁…,好似考得唔理想，之所以會咁諗嘅原因係？,T4
有朋友又好，人群之中都會寂寞空虛,覺得就算有朋友到覺得寂寞，的確難受。有邊啲啲情景會令你覺得無咁空虛呢？ ,L3
讓我唯一的朋友 不是老鼠,你話唯一嘅朋友即係點樣呢？我想聽多啲。,L3
明明身邊都有唔少朋友可以約出黎玩 但係都係傾下傾下都係嗰啲話題，大家約出黎玩就好似presentation 咁逐個逐個update 自己既近況，似係present，多過溝通同傾計咁。。。,明白你可能未必同朋友有好多唔同種類嘅話題，而感到落寞，你可以同學校嘅counsellor傾下㗎！,L5
"有時會無啦啦有種失落感,孤獨感,冇原因,但係覺得個心好似缺失咗咩咁,唔關人事,係自身嘅一種感覺.",明白失落嘅感覺唔好受。你覺得個心好似缺失咗啲嘢。近排有無發生特別嘅事？,L3
我驚我父母對我的成績有看法,父母對你嘅成績有睇法嘅話，會係點嘅睇法呢？,T3
如果今次考試pass唔到，我實要重考，仲要再補習好耐,睇黎今次考試pass對你黎講好重要，你會做點嘅準備？,T2
可能有，但系我唔記得咗，都唔記得自己答咗咩題 ,唔記得答咗咩題目，令你覺得點呢？,T5
不被需要個種感覺真係好差,我感覺到你而家好唔開心。你認為不被需要嘅感覺係點嘅呢？可以同我講下嗎？,L7
入便有D題目我都唔明系乜嘢意思，都系亂寫嘅,唔明題目問乜所以亂寫，你有點嘅感受？,T4
"我明 真係好辛苦
大學好難識到fd
唔知係我問題定點
好明顯feel到人地唔係太想同我熟啲
唔通因為我講野太悶",明白你認為大學階段認識新朋友好困難，而且亦好難同人溝通，令你感到好辛苦，是嗎？,L8
「你今天有講話嗎？」 不是我不講 只是沒人跟我講., 你可以搵學校嘅counsellor傾下㗎。,L2
same here 自己d興趣少人玩 見d踢波打波既一堆fd玩 自己就同自己玩,因為自己嘅興趣少人玩所以只可以自己玩，可以講下你有點樣既興趣嗎？,L5
覺得自己好煩 我唔想要人承受我啲情緒,有情緒又怕影響到人嘅話，唔洗自己收埋，可以搵學校/社區嘅社工傾下。,L5
上到大專/大學所謂既朋友都係睇你既利用價值,有幾個真心朋友都好好嘅 可以試吓對同科嘅人咁敞開自己同人傾吓計識下佢哋,L6
"呢種孤獨感係由心而發,越大越鍾意孤獨,但同時又好空虛..",你覺得鍾意孤獨但係又好空虛。由心而發嘅孤獨感究竟係點嘅呢？,L3
其實我幾鍾意自己一個 但係冇朋友又唔得 好矛盾,有時都要一個人放鬆吓,L3
"有心事想揾人傾計食餐飯
打開ws 頭幾個都係炒散gp
再拉落去既對話已經半年前",明白你會有孤單嘅感覺 參加多啲活動識多啲唔同嘅人啦～或者相同興趣嘅人都有幫助㗎,L2
有左女朋友之後就無哂朋友,"分配時間都緊要架,又或者試吓多啲同同學開新嘅話題",L3
朋友又唔多 成日想放負 但唔想煩住人,"唔好咁灰心住,你可以試下繼續結識朋友。終有一日您會找到connect到、樂意聼你講的人，唔好忘記幫自己打氣呀。",L5
我都係好多地方想去 好多野想做 但冇人一齊,我明白你呢個孤單嘅感受呀 可以參加多啲活動搵啲志同道合嘅朋友呀,L3
"有心事有野想搵人幫手個陣 碌一碌個contact
先發現其實自己無可以交到心既人 一直只係得自己一個",我明白你嘅感受，你可以平時同身邊嘅人建立良好嘅關係，當你有需要嘅時候，我相信佢地都會肯幫你。,L2
轉咗新環境，好努力去social，但係又好odd。我唔出聲人地又覺得我好惡，唔明點解人地可以自然又輕鬆識朋友。,你可以參加多啲群體活動， 識多啲朋友㗎。,L8
考試呢家野咁晒時間 唔想做完都要留喺度,如果check好份卷早啲離開都好 多啲時間俾自己休息同準備下一科嘛,T7
"好似宜家呢d時間
好想有個人陪自己傾下電話 講下今日發生左咩事
有個人聽自己講野", 你可以搵學校嘅counsellor傾下㗎。,L2
我係冇人同我講:-(:-(  我都想有人同我分享快樂分擔傷心,太多心事喺心裡面的確會好辛苦。你可以搵屋企人傾訴。再唔係，搵學校/社區嘅社工都得。,L2
因為怕成績不好會被父母罵，所以考試時會很緊張，反而表現更差,其實在考場裡大家都會緊張，唯一辦法就是習慣這個緊張感，嘗試考多D模擬試，比身體適應壓力先。,T3
大家都只係hi bye friend 或者只係酒肉朋友，搵唔到個可以交心，可以信任嘅朋友…,朋友都只係hi bye friend，或者酒肉朋友，令你有點樣嘅感受？,L6
不知道這次考試分數怎麼樣,唔肯定今次嘅考試分數，令你有點嘅感受？,T1
又內向又慢熱又被動真係 應該之後嘅生活都係自己一個,我明白你嘅感受，你可以出街散下步、觀察下街道上嘅⾏⼈，或者同鄰居打個招呼， 都會令你冇咁孤單。,L3
我覺得我呢次口語考試考得好差,覺得今次口語考試考得差嘅原因係？,T4
"""爸媽成日對我成績要求咁高","其實不必太介意父母的期望,最緊要知道自己有冇進步定係停濟不前，慢慢提升水平便可。",T3
因為一緊張就唔記得左溫左既野…,可以試下喺唔同嘅網上平台搵相關嘅影片睇下 輕鬆啲之餘又可以recall返啲記憶 當然如果你有其他減壓嘅方法 例如約朋友同學一齊溫書／出街 玩下電腦遊戲都係一啲辦法呢,T5
我唔想令我父母失望 傷心  傷心  傷心  傷心  傷心  傷心  傷心  傷心  傷心  傷心 ,試下同屋企人傾下，話比佢知你已經好努力呢一科不太理想比佢做定心理準備,T3
我一緊張就沒辦法專心，會做其他小動作 ,緊張，無辦法專心嘅時候，會做啲點嘅小動作？,T9
溫書真係冇動力，溫咗咁耐都會炒,會唔會係其他原因令到溫習效率麻麻，試下form個study group或者set啲唔同目標比自己?,T1
咁如果我真係fail，咁點算啊？,擔心自己fail，你嘅感受係點樣？,T2
女朋友好望成日唔得閒理自己 覺得好孤獨,孤獨的確難受，你覺得女朋友太忙無時間陪你，有試過同佢表達自己嘅感受嗎？,L3
我覺得一定好難嘎！我死定啦我媽咪一定罵死,試下同媽咪傾下，話比佢知你呢一科不太理想比佢做定心理準備,T3
夜深感到很孤獨好寂寞 尤其係屋企得翻自己一個,明白這感受會令人不開心.唔好咁灰心住..其實你可以試下用social media 去同自己朋友互動一下,L3
考試我就唔得，不嬲炒硬,會唔會係其他原因令到效果唔理想，試下問下師兄、同學仔睇下點樣可以令自己更加進步。,T1
點算呀，呢次考試我嘅成績肯定唔好,覺得今次成績會唔好，點解呢？,T1
日日喺屋企就悶死,聽你咁講，你因為每日留喺屋企，而感到有啲沉悶。你有啲咩解決方案呀？,L1
"""每次去到考場都好緊張",如果可以試下考之前去視察一下 有個準備會冇咁緊張,T9
離考試越近，壓力就越大，溫書嘅時候，筆都攞唔住，手唔停出汗,放鬆點！可能你太緊張啫！,T10
我沒辦法記住那些答案 ,試吓用mindmap整合分類好啲邏輯 用唔同嘅記憶法幫手 可以將學術知識同日常生活連繫 或者一啲生動有趣嘅聯想都有助記憶架,T5
有陣時想搵個人一齊玩同一興趣既都難，同埋又唔係個個都岩玩,的而且確，唔同人有唔同興趣。可以講下你有點樣嘅興趣嗎？,L5
我好好考試會好難，不理解啊,做多點試題熟習 不明白的地方要找教授了解清楚喔,T5
而我分數低的話，我媽媽和爸爸會好失望,爸爸媽媽失望，會令你覺得點樣？,T3
嚟緊好快就考試，要考好多科，但係我仲未溫哂，點算好?,視乎你嘅目標 分配好時間 訂立啲階段目標去努力逐步達成 或者試下form study group同同學仔一齊溫重點  做好啲搶分題 咁就冇咁擔心 溫得輕鬆啲架啦,T5
考試嘅時候會玩鉛筆呀，會成日周圍望,但係咁會唔會令你容易分心 有無試過做多啲題目熟習考試嘅範圍,T8
我害怕我父母對我的成績有看法,父母對你成績有看法嘅話，會係點嘅看法呢？,T3
"一個人, 冇女朋友, 冇屋企人, 雖然自己一個過得還好, 就係有時候好悶, 同好多好西一個人食好怪, 通常食野多人先有折...",明白你會有咁嘅感覺唔好咁灰心先可以試吓用social Media 搵吓朋友,L1
我好擔心我最後出到來的分數,擔心最後分數嘅時候，你會諗啲乜？,T1
我好靜好怕醜識唔到朋友...唔識講嘢，份人又悶，曾經識到朋友，又慢慢被疏遠,從你嘅話語中，我理解到你認為自己個性內向同悶所以被朋友疏遠，因而感到失落同自責。,L8
我知道一個人冇咩嘢，很自由很輕鬆。但係每次遇到問題都搵唔到人幫手真係好無助…,我明白你嘅感受，你可以平時同身邊嘅人建立良好嘅關係，當你有需要嘅時候，我相信佢地都會肯幫你。,L2
"返工都仲可以同同事圍威喂
開心過九個鐘
收左工條街得返自己一個，就會覺得好寂寞
我以為自己習慣左寂寞，點知一到大時大節都會唔甘心",明白你需要別人陪伴，得返自己一個人嘅時候就感到寂寞同唔開心，你可以搵學校counsellor傾下㗎！,L1
遇到特別難嘅題目嗰陣，我就想望望人哋點做嘅  ,遇到特別難嘅題目就想望下人哋點做，呢件事令你有點嘅感受？,L4
我在考試期間，四處張望，望其他同學。我感的,不過其他同學都可能唔識啲難嘅題目 考試嘅時間好珍貴喔 專注啲喺份卷會無咁容易做錯喎,T6
我擔心考試有多艱辛，失敗，做錯什麼，以及父母會說些什麼。,"其實不必太介意父母的期望,最緊要盡力 問心無愧就冇問題了",T3
"唔好覺得一個人唔自在,自己同自己傾計..",自己同自己傾偈，令你有點樣嘅感覺？,L2
唔知我呢次考試成績，系唔系比之前有進步,唔知今次考試成績有冇進步，你嘅感受係？,T1
想要個真朋友比我做樹窿，係我唔開心既時侯陪我，係我做錯事既時候話醒我,聽落你希望擁有真心朋友，能夠與你分享快樂，分擔困難，並及時指正你嘅過錯。你可以搵學校嘅counsellor傾下㗎！,L8
有時覺得同人講完又唔會解決到件事 不如慳番啖氣 索性搵第二啲野麻醉自己算了…,明白你覺得與人傾訴並唔能夠解決你嘅問題，你可以搵學校嘅counsellor傾下㗎！,L5
好耐以前成班去某人生日會唔叫我，好唔開心，一開始自己會講一兩句微言，之後自己愈諗愈sad就淡出佢地,無得到其他人邀請嘅感覺的確唔好受。不過，微言嘅內容大概係乜野？佢哋當時嘅反應又係點？,L7
覺得個grade會好低,覺得個grade會低，點解呢？,T1
"好寂寞架
自卑到,連愛情都唔想要
因為連自我價值都否定埋,好壓抑
有D人有情緒病要分手,就係同一道理",從你嘅話語中，我聽到你經常自己一個人，感到寂寞同自卑，更否定自己既價值。你可以搵學校嘅counsellor傾下㗎！,L3
考試嗰陣我好攰 好緊張,考試嗰陣好攰又緊張，你會點面對？,T9
"""我擔心考試有多難，我擔心我會失敗",準備多啲 熟習啲題目 記住搵啲方法放鬆自己 多啲同信得過嘅人分享溝通 分擔一下,T2
父母要求好高，永遠都做得唔夠好， 所以就好辛苦,明白爸媽要求高會令你覺得辛苦。不過，點解覺得永遠做得唔夠好？,T3
我考試就永遠都没有我温的好啊 迷茫,明白你嘅迷茫。不過，點解覺得考試無溫書好呢？,T4
有時諗唔到點寫我又會拍下我隻腳,考試緊張都好正常嘅 呢個辦法可唔可以減壓 幫助你考試發揮架,T8
自問對朋友好，但佢地都唔重視我，一早放棄左,我完全明白你已經付出，但卻得唔到朋友重視嘅失落。,L7
